Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
oqxA3	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
oqxA5	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
tet(O/W/32/O)	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-1158	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-299	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
almG	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaGES-52	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
qnrS6	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
npmA	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
aph(3')-IIc	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1136	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
erm(49)	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
fosA5	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
